#,*EventCODE,*EventType,*Action ( Reboot + 3+ shutdown) or Error/Warning/Info/Busy/Idle/Stop,"Response to negative options selected by the user - Cancel, No etc","*SourceComponent , mandatory if Ack is true",Yes/No,High/Medium/Low/None,True/False,EnglishString,Ok-Yes+No-Continue+Stop-Ok+Cancel,Yes/No,EventInfo
#EventId,EventMacro,EventType,ActionTypePositive,ActionTypeNegative,Source,AlarmTone,*LogLevel,UserLog,EventString,GUIEvent,StatusBarIcon,EventInfo
17956867,EVENT_DM_ERROR_INVALID_WATERTYPE,Info,,,,No,Low,FALSE,'%1' is not a valid Watertype,Ok,,
17956868,EVENT_DM_INVALID_LEICA_AGITAION_SPEED,Info,,,,No,Low,FALSE,'%1' is not a valid Leica Agitation Speed,Ok,,
17956869,EVENT_DM_INVALID_LEICA_OVENTEMP,Info,,,,No,Low,FALSE,'%1' is not a valid Leica Oven temperature,Ok,,
17956870,EVENT_DM_INVALID_LOADER_REAGENTID,Info,,,,No,Low,FALSE,Invalid Reagent Id in Loader station '%1',Ok,,
17956871,EVENT_DM_ERROR_SOUND_NUMBER_OUT_OF_RANGE,Info,,,,No,Low,FALSE,Error Sound Number values are Out Of Range,Ok,,
17956872,EVENT_DM_ERROR_SOUND_LEVEL_OUT_OF_RANGE,Info,,,,No,Low,FALSE,Error Sound Level values are Out Of Range,Ok,,
17956873,EVENT_DM_WARN_SOUND_NUMBER_OUT_OF_RANGE,Info,,,,No,Low,FALSE,Warning Sound Number values are Out Of Range,Ok,,
17956874,EVENT_DM_WARN_SOUND_LEVEL_OUT_OF_RANGE,Info,,,,No,Low,FALSE,Warning Sound Level values are Out Of Range,Ok,,
33619969,EVENT_RACK_INSERTED,Info,,,,,Low,FALSE,Rack %1 has been inserted,Ok,,
33619970,EVENT_RACK_REMOVED,Info,,,,,Low,FALSE,Rack %1 has been removed,Ok,,
33619971,EVENT_COLORADO_START,Info,,,,,Low,TRUE,Stainer started (serial number is %1 and type is %2),,,
33619972,EVENT_PASSWORD_INCORRECT,Error,,,,No,Medium,TRUE,Login failed. Incorrect password.,Ok,,
33619973,EVENT_PASSWORD_NOT_MATCHING,Error,,,,No,Medium,TRUE,Unable to change the password. Passwords are not matching.,Ok,,
33619974,EVENT_PASSWORD_CHANGED_SUCCESSFULLY,Info,,,,No,Medium,TRUE,Password changed successfully.,Ok,,
33619975,EVENT_PROCESS_COLORADO_GUI_STOPPED,Error,,,,No,High,TRUE,Stainer GUI process has stopped,Ok,,
33619976,EVENT_PROCESS_SEPIA_STOPPED,Error,,,,No,High,TRUE,Sepia process has stopped,Ok,,
33619977,EVENT_STATIONS_DEFECT,Error,,,,No,Medium,TRUE,The Following Station(s) are defect: %n. Programs using defective stations will no longer be startable.,Ok,,
33619978,EVENT_PROCESS_SEPIA_CONNECTED,Info,,,,No,High,TRUE,Coverslipper Device Connected,Ok,,
33619979,EVENT_PROCESS_COLORADO_GUI_CONNECTED,Info,,,,No,High,TRUE,Stainer GUI Connected,,,
33619980,EVENT_DI_WATER_NOT_AVAILABLE,Info,,,,No,High,TRUE,DI water not available.Program(s) using DI water step will no longer be startable.,Ok,,
33619981,EVENT_REAGENT_NOT_PRESENT_IN_BATHLAYOUT,Info,,,,No,High,TRUE,"Program ""%1"" no longer startable since the following Reagent(s) are not available in bathlayout: ""%n""",Ok,,
33619982,EVENT_REAGENT_EXPIRED_PROG_NOT_STARTABLE,Info,,,,No,High,TRUE,"Program ""%1"" no longer startable since Reagent ""%1"" used by the Program expired.",Ok,,
33619983,EVENT_5_SLIDE_REAGENT_USED_FOR_NORMAL_RACK,Info,,,,No,Medium,TRUE,"Please remove rack from Station ""%1"".Program associated with Rack uses the following five slide Reagent(s): %n. Only five slide Rack can use 5 slide reagent.""",Ok,,
33619984,EVENT_REMOVE_RACK_PROG_NOT_STARTABLE,Warning,,,,No,Medium,TRUE,"Program ""%2"" is not startable.Please remove rack from station ""%1""",Ok,,
33619985,EVENT_INITIALIzATION_FAILED,Error,Shutdown,,Main,Yes,High,TRUE,Internal Software Error!.Do you want to restart the system ?,Yes+No,Yes,
33619986,EVENT_5_SLIDE_RACK_WITH_LAST_STEP_TRANSFER,,,,,,,,,,,
33619987,EVENT_COLORADO_DM_GV_FAILED,Error,,,,,Low,FALSE,Group verification is failed,,,
33685505,EVENT_VERIFIER_ERROR_RACK_ALREADY_IN_USE,Error,,,,,Low,FALSE,,,,
33685506,EVENT_VERIFIER_ERROR_PROGRAMSTEP_LEFT,Error,,,,,Low,FALSE,,,,
33685507,EVENT_VERIFIER_ERROR_TIME_UNDERRUN,Error,,,,,Low,FALSE,,,,
33685508,EVENT_VERIFIER_ERROR_TIME_OVERRUN,Error,,,,,Low,FALSE,,,,
33685509,EVENT_VERIFIER_ERROR_RESOURCE_COLLISION,Error,,,,,Low,FALSE,,,,
33685510,EVENT_VERIFIER_ERROR_UNKNOWN_RACK,Error,,,,,Low,FALSE,,,,
33685511,EVENT_VERIFIER_ERROR_PROGRAMSTEP_DURATION,Error,,,,,Low,FALSE,,,,
33751041,EVENT_SCHEDULER_IDLE,Info,Info,,Scheduler,No,MEDIUM,FALSE,Scheduler is idle,,No,
33751042,EVENT_SCHEDULER_UNLOAD_TRAY_OPEN_SCHEDULE_STOPPED,Error,Stop,,Scheduler,Yes,MEDIUM,TRUE,Schedule execution has stopped as unload tray is open,,Yes,
